Group ID,Filename,Resolution,Duration (ms),Size (Bytes),Full Path
Group 36,ssstwitter.com_1761814635607.mp4,1080x1080,2038208,404060498,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761814635607.mp4
Group 37,ssstwitter.com_1761995464857.mp4,720x720,1202447,107458657,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761995464857.mp4
Group 37,ssstwitter.com_1778371784703.mp4,720x720,1202367,108035691,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778371784703.mp4
Group 38,ssstwitter.com_1762175900438.mp4,1080x1080,2269777,573491473,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762175900438.mp4
Group 38,ssstwitter.com_1762175925916.mp4,1080x1080,2269777,573491473,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762175925916.mp4
Group 38,ssstwitter.com_1761118233950.mp4,1080x1080,2269777,573491473,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761118233950.mp4
Group 39,ssstwitter.com_1762276651483.mp4,720x720,1893120,189772863,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762276651483.mp4
Group 39,ssstwitter.com_1779282862607.mp4,720x720,1893120,189772863,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 3\ssstwitter.com_1779282862607.mp4
Group 40,ssstwitter.com_1762276849952.mp4,720x720,3133032,378054077,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762276849952.mp4
Group 40,ssstwitter.com_1762418643070.mp4,720x720,3133032,378054077,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762418643070.mp4
Group 41,ssstwitter.com_1762430178788.mp4,720x720,111453,13595531,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762430178788.mp4
Group 41,ssstwitter.com_1761240370408.mp4,720x720,111453,13595531,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761240370408.mp4
Group 42,ssstwitter.com_1762691766946.mp4,1280x720,497400,70862267,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762691766946.mp4
Group 42,ssstwitter.com_1761479789813.mp4,1280x720,497467,67767229,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761479789813.mp4
Group 43,ssstwitter.com_1762692903734.mp4,480x852,254955,14633591,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762692903734.mp4
